26/6,9:43:5,3.89 , 56.77 , 3.89 , 219.52 , 5.65
26/6,9:43:10,3.89 , 57.02 , 3.89 , 220.30 , 5.67
26/6,9:43:16,3.89 , 56.99 , 3.89 , 220.48 , 5.67
26/6,9:43:21,3.89 , 57.05 , 3.89 , 220.89 , 5.68
26/6,9:43:26,3.89 , 57.17 , 3.89 , 221.15 , 5.69
26/6,9:43:32,3.89 , 57.18 , 3.89 , 221.35 , 5.70
26/6,9:43:37,3.89 , 57.25 , 3.89 , 221.55 , 5.70
26/6,9:43:43,3.89 , 57.32 , 3.89 , 221.66 , 5.70
26/6,9:43:48,3.89 , 57.34 , 3.89 , 221.79 , 5.71
26/6,9:43:54,3.89 , 57.32 , 3.89 , 221.79 , 5.71
26/6,9:43:59,3.89 , 57.34 , 3.89 , 221.61 , 5.70
26/6,9:44:4,3.89 , 57.42 , 3.89 , 221.92 , 5.71
26/6,9:44:10,3.89 , 57.49 , 3.89 , 221.89 , 5.72
26/6,9:44:15,3.89 , 57.55 , 3.89 , 222.21 , 5.72
26/6,9:44:21,3.89 , 57.55 , 3.89 , 222.05 , 5.72
26/6,9:44:26,3.89 , 57.58 , 3.89 , 222.56 , 5.73
26/6,9:44:32,3.89 , 57.59 , 3.89 , 222.50 , 5.73
26/6,9:44:37,3.89 , 57.58 , 3.89 , 222.56 , 5.73
26/6,9:44:42,3.89 , 57.65 , 3.89 , 222.53 , 5.73
26/6,9:44:48,3.88 , 57.63 , 3.89 , 222.85 , 5.73
26/6,9:44:53,3.89 , 57.57 , 3.89 , 222.56 , 5.73
26/6,9:44:59,3.88 , 57.61 , 3.89 , 222.37 , 5.73
26/6,9:45:4,3.88 , 57.66 , 3.89 , 222.77 , 5.74
26/6,9:45:10,3.88 , 57.61 , 3.89 , 222.75 , 5.74
26/6,9:45:15,3.88 , 57.55 , 3.89 , 222.25 , 5.72
26/6,9:45:20,3.88 , 57.69 , 3.89 , 222.49 , 5.74
26/6,9:45:26,3.88 , 57.67 , 3.89 , 222.80 , 5.74
26/6,9:45:31,3.88 , 57.54 , 3.89 , 222.48 , 5.73
26/6,9:45:37,3.88 , 57.70 , 3.89 , 222.73 , 5.74
26/6,9:45:42,3.88 , 57.57 , 3.89 , 222.63 , 5.74
26/6,9:45:48,3.88 , 57.60 , 3.89 , 222.28 , 5.73
26/6,9:45:53,3.88 , 57.63 , 3.89 , 222.84 , 5.74
26/6,9:45:58,3.88 , 57.58 , 3.89 , 222.34 , 5.73
26/6,9:46:4,3.88 , 57.66 , 3.89 , 222.93 , 5.74
26/6,9:46:9,3.88 , 57.52 , 3.89 , 222.38 , 5.73
26/6,9:46:15,3.88 , 57.70 , 3.89 , 222.75 , 5.74
26/6,9:46:20,3.88 , 57.61 , 3.89 , 222.65 , 5.74
26/6,9:46:26,3.88 , 57.69 , 3.89 , 222.56 , 5.74
26/6,9:46:31,3.88 , 57.67 , 3.89 , 222.46 , 5.74
26/6,9:46:36,3.88 , 57.61 , 3.89 , 222.75 , 5.74
26/6,9:46:42,3.88 , 57.73 , 3.89 , 222.58 , 5.74
26/6,9:46:47,3.88 , 57.57 , 3.89 , 222.61 , 5.74
26/6,9:46:53,3.88 , 57.73 , 3.89 , 222.73 , 5.74
26/6,9:46:58,3.88 , 57.59 , 3.89 , 222.47 , 5.74
26/6,9:47:4,3.88 , 57.72 , 3.89 , 222.87 , 5.75
26/6,9:47:9,3.88 , 57.62 , 3.89 , 222.47 , 5.74
26/6,9:47:14,3.88 , 57.75 , 3.89 , 223.10 , 5.74
26/6,9:47:20,3.88 , 57.66 , 3.89 , 222.40 , 5.74
26/6,9:47:25,3.88 , 57.65 , 3.89 , 222.76 , 5.74
26/6,9:47:31,3.88 , 57.72 , 3.89 , 222.65 , 5.74
26/6,9:47:36,3.88 , 57.59 , 3.89 , 222.42 , 5.73
26/6,9:47:42,3.88 , 57.74 , 3.89 , 222.94 , 5.75
26/6,9:47:47,3.88 , 57.71 , 3.89 , 222.49 , 5.74
26/6,9:47:52,3.88 , 57.58 , 3.89 , 222.47 , 5.74
26/6,9:47:58,3.88 , 57.73 , 3.89 , 222.76 , 5.74
26/6,9:48:3,3.88 , 57.62 , 3.89 , 222.35 , 5.74
26/6,9:48:9,3.88 , 57.72 , 3.89 , 222.91 , 5.75
26/6,9:48:14,3.88 , 57.81 , 3.89 , 223.17 , 5.75
